text,Sentiment Score,Analysis
"[quit, dragon, yer, feet, make, plans, come, see, us, friday, burning, yesterd]",2,Positive
,,
"[grant, hart, photo, greg, helgeson, stpaul, minnesota, rockmusic, huskerdu, novamob, rocktober]",-1,Negative
,,
"[would, thought, would, post, beatles, song, today, rocktober, since, lennon, would, turned, 7]",3,Positive
,,
"[happy, birthday, wishing, great, day, year, happy, rocktober]",4,Positive
,,
"[happy, birthday, wishing, great, day, year, happy, rocktober]",4,Positive
,,
"[cool, band, name, check, lost, way, rocktober, nowplaying, hardrockmusic, metalmusic, http]",4,Positive
,,
"[happy, birthday, wishing, great, day, year, happy, rocktober]",4,Positive
,,
"[warpaint, hey, time, change, icon, next, rocktober, lol, poor]",2,Positive
,,
"[166, games, went, way, fast, go, rockies, 178, days, till, opening, day, rocktober, 25thanniversary, rockies]",1,Positive
,,
"[giveaway, alert, rolling, another, rocktober, giveaway, sold, jarvis, cocker, show, featuring, tt, war]",3,Positive
,,
"[cool, band, name, check, lost, way, rocktober, nowplaying, hardrockmusic, metalmusic]",4,Positive
,,
"[spooky, sunset, tonight, rocktober]",0,Neutral
,,
"[day, 9, rocktober, band, day, 100, watt, vipers, recommended, track, father, cross, featuring, jason, hensl]",0,Neutral
,,
"[spooky, sunset, tonight, rocktober]",0,Neutral
,,
"[spooky, sunset, tonight, rocktober]",0,Neutral
,,
"[spooky, sunset, tonight, rocktober]",0,Neutral
,,
"[little, late, wanted, say, longer, rocktober]",0,Neutral
,,
"[flynn, rocktober]",0,Neutral
,,
"[girls, like, rock, version, dope, rocktour254, rocktober]",1,Positive
,,
"[lets, forget, fans, make, sure, let, punk, know, isnt, acceptable]",4,Positive
,,
"[join, us, climbing, movement, clinic, tonight, learn, new, skills, well, make, good, connections]",5,Positive
,,
"[giveaway, alert, rolling, another, rocktober, giveaway, sold, jarvis, cocker, show, featuring, tt, war]",3,Positive
,,
"[giveaway, alert, rolling, another, rocktober, giveaway, sold, jarvis, cocker, show, featuring, tt, fro]",3,Positive
,,
"[felizmartes, frasedeldia, frasesdelrock, frasesmatonas, pinkfloyd, martesdeganarseguidores, siguemeytesigocumplo, l]",0,Neutral
,,
"[rocktober, baseball, returns, rocky, mountain, region, play, pumped, see, everyone, bring, https]",2,Positive
,,
"[shows, rocktober, cut, loyalty, program, points, need, redeem, half, 2, tic]",1,Positive
,,
"[rocktober, join, pound, 6, 30pm, metrorecplex, poundfitness, poundfit, transformationtuesday]",1,Positive
,,
"[haha, found, outtake, left, camera, running, someone, sneaked, make, guitar, lesson, al]",3,Positive
,,
"[cheers, rocktober]",1,Positive
,,
"[wynonnaearp, rocktober, martybalin, bluebloods, ryanbraun, milesbridges, end3q, davidwright, iahsfb, rohdbd, lastmanstandi]",0,Neutral
,,
"[going, live, rocktober, day, 9, set, list, start, ft, ac, dc, nin, foofighters, onto, eft, scav, boss, runs]",0,Neutral
,,
"[going, live, rocktober, day, 9, set, list, start, ft, ac, dc, nin, foofighters, onto, eft, scav, boss, runs]",0,Neutral
,,
"[vintagevinyl, woodstock, rocktober]",0,Neutral
,,
"[going, live, rocktober, day, 9, set, list, start, ft, ac, dc, nin, foofighters, onto, eft, scav, boss, runs]",0,Neutral
,,
"[def, leppard, one, time, fav, rock, bands, hope, get, rrhof]",4,Positive
,,
"[lol, rocktober, lasted, less, business, week, fans, ordered, rockies, gear, playoffs, even, got, th]",3,Positive
,,
"[going, live, rocktober, day, 9, set, list, start, ft, ac, dc, nin, foofighters, onto, eft, scav, bo]",0,Neutral
,,
"[felizmartes, frasedeldia, frasesdelrock, frasesmatonas, pinkfloyd, martesdeganarseguidores, siguemeytesigocumplo, l]",0,Neutral
,,
"[another, batch, rocktober, reissues, week, rhino, two, dio, two, sevendust, heck, yeah]",2,Positive
,,
"[cool, band, name, check, lost, way, rocktober, nowplaying, hardrockmusic, metalmusic, http]",4,Positive
,,
"[allamericanrejects, therejects, rocktoberfest, rocktober, livemusic, tour]",0,Neutral
,,
"[cool, band, name, check, lost, way, rocktober, nowplaying, hardrockmusic, metalmusic]",4,Positive
,,
"[rocktober, 9th]",0,Neutral
,,
"[rocktober, board, getting, stacked, dio, added, today, along, faces, titles, push]",2,Positive
,,
"[today, last, day, sign, basics, backpacking, come, learn, essential, skills, backpack]",1,Positive
,,
"[rocktober, citytrip, de, trein, reed, op, tijd, voor, het, kleine, uitstapje, speciaal, omdat, er, nog, geen, skapril, bestaat]",0,Neutral
,,
"[already, miss, rocktober, much, longer, 2019, season, starts, nazty]",1,Positive
,,
"[donovan, season, witch, via, rocktober]",0,Neutral
,,
"[tuesday, sports, front, takes, look, could, rockies, likelihood]",1,Positive
,,
"[please, cease, desist, brocktober, rocktober, colorado, thing, already, lost, ya, gotta, like]",3,Positive
,,
[rocktober],0,Neutral
,,
"[felizmartes, frasedeldia, frasesdelrock, frasesmatonas, pinkfloyd, martesdeganarseguidores, siguemeytesigocumplo, l]",0,Neutral
,,
"[girls, like, rock, version, dope, rocktour254, rocktober]",1,Positive
,,
"[pura, historia, rocktober]",0,Neutral
,,
"[saturday, rocktober, continues, lacitabar, lacita, dtla, downtownla, losangeles, la]",0,Neutral
,,
"[local, newspaper, rocktober]",0,Neutral
,,
"[vintagevinyl, woodstock, rocktober]",0,Neutral
,,
"[semarang, gig, jawatengah, infosmg, infoseputarsemarang, smg, jatenggayeng, metalcore, metal, deathcore, supermusicid]",0,Neutral
,,
"[rocktober, celebrating, whole, month, forget, vote, favorite, rockstar]",2,Positive
,,
"[09, rocktober, inktober, oktoberfest]",0,Neutral
,,
